Command,Mode,Script,Application,Repository,Title
reset camera,NULL,key(keypad_5),ra3ep1_1.1.game,mystuff,NULL
zoom,NULL,key(keypad_8),ra3ep1_1.1.game,mystuff,NULL
zoom out,NULL,key(keypad_2),ra3ep1_1.1.game,mystuff,NULL
rotate left,NULL,key(keypad_4),ra3ep1_1.1.game,mystuff,NULL
rotate right,NULL,key(keypad_6),ra3ep1_1.1.game,mystuff,NULL
aggressive [stance],NULL,key(alt-a),ra3ep1_1.1.game,mystuff,NULL
guard [stance],NULL,key(g),ra3ep1_1.1.game,mystuff,NULL
hold ground,NULL,key(alt-d),ra3ep1_1.1.game,mystuff,NULL
hold fire,NULL,key(alt-f),ra3ep1_1.1.game,mystuff,NULL
status,NULL,key(o),ra3ep1_1.1.game,mystuff,NULL
[toggle] heads up [display],NULL,key(end),ra3ep1_1.1.game,mystuff,NULL
sub tab,NULL,key(tab),ra3ep1_1.1.game,mystuff,NULL
(next) | (previous) tab,NULL,key(ctrl-tab),ra3ep1_1.1.game,mystuff,NULL
activate first,NULL,key(ctrl-a),ra3ep1_1.1.game,mystuff,NULL
activate second,NULL,key(ctrl-s),ra3ep1_1.1.game,mystuff,NULL
activate third,NULL,key(ctrl-d),ra3ep1_1.1.game,mystuff,NULL
activate fourth,NULL,key(ctrl-f),ra3ep1_1.1.game,mystuff,NULL
attack,NULL,"
key(a)
sleep(50ms)
mouse_click(0)",ra3ep1_1.1.game,mystuff,NULL
[power] slot first,NULL,key(alt-q),ra3ep1_1.1.game,mystuff,NULL
[power] slot second,NULL,key(alt-w),ra3ep1_1.1.game,mystuff,NULL
[power] slot third,NULL,key(alt-e),ra3ep1_1.1.game,mystuff,NULL
[power] slot forth,NULL,key(alt-r),ra3ep1_1.1.game,mystuff,NULL
[power] slot fifth,NULL,key(alt-t),ra3ep1_1.1.game,mystuff,NULL
[power] slot sixth,NULL,key(alt-y),ra3ep1_1.1.game,mystuff,NULL
[power] slot seventh,NULL,key(alt-u),ra3ep1_1.1.game,mystuff,NULL
[power] slot eighth,NULL,key(alt-i),ra3ep1_1.1.game,mystuff,NULL
[power] slot ninth,NULL,key(alt-o),ra3ep1_1.1.game,mystuff,NULL
[power] slot tenth,NULL,key(alt-p),ra3ep1_1.1.game,mystuff,NULL
release keys,NULL,"
key(alt:up)
key(ctrl:up)
key(shift:up)
key(d:up)
key(a:up)",ra3ep1_1.1.game,mystuff,NULL
force attack,NULL,key(ctrl:down),ra3ep1_1.1.game,mystuff,NULL
reverse,NULL,key(d:down),ra3ep1_1.1.game,mystuff,NULL
attack move,NULL,key(a:down),ra3ep1_1.1.game,mystuff,NULL
waypoint,NULL,key(alt:down),ra3ep1_1.1.game,mystuff,NULL
planning,NULL,key(ctrl-z),ra3ep1_1.1.game,mystuff,NULL
select [unit] first,NULL,"
key(q)
key(f1)",ra3ep1_1.1.game,mystuff,NULL
select [unit] second,NULL,"
key(q)
key(f2)",ra3ep1_1.1.game,mystuff,NULL
select [unit] third,NULL,"
key(q)
key(f3)",ra3ep1_1.1.game,mystuff,NULL
select [unit] four,NULL,"
key(q)
key(f4)",ra3ep1_1.1.game,mystuff,NULL
select [unit] fifth,NULL,"
key(q)
key(f5)",ra3ep1_1.1.game,mystuff,NULL
select [unit] sixth,NULL,"
key(q)
key(f6)",ra3ep1_1.1.game,mystuff,NULL
select [unit] seventh,NULL,"
key(q)
key(f7)",ra3ep1_1.1.game,mystuff,NULL
select [unit] eighth,NULL,"
key(q)
key(f8)",ra3ep1_1.1.game,mystuff,NULL
select [unit] ninth,NULL,"
key(q)
key(f9)",ra3ep1_1.1.game,mystuff,NULL
select [unit] tenth,NULL,"
key(q)
key(f10)",ra3ep1_1.1.game,mystuff,NULL
select [unit] eleventh,NULL,"
key(q)
key(f11)",ra3ep1_1.1.game,mystuff,NULL
select [unit] twelfth,NULL,"
key(q)
key(f12)",ra3ep1_1.1.game,mystuff,NULL
context,NULL,key(.),ra3ep1_1.1.game,mystuff,NULL
power mode,NULL,key(x),ra3ep1_1.1.game,mystuff,NULL
database | message,NULL,key(i),ra3ep1_1.1.game,mystuff,NULL
objectives,NULL,key(o),ra3ep1_1.1.game,mystuff,NULL
dot net attack,NULL,key(alt),ra3ep1_1.1.game,mystuff,NULL
select <user.function_key>,NULL,"
key(function_key)
sleep(50ms)
key(function_key)",ra3ep1_1.1.game,mystuff,NULL
repair this,NULL,"
key(c)
sleep(50ms)
mouse_click(0)
sleep(50ms)
key(c)",ra3ep1_1.1.game,mystuff,NULL
special,NULL,key(`),ra3ep1_1.1.game,mystuff,NULL
select one,NULL,"
key(f1)
sleep(50ms)
key(f1)",ra3ep1_1.1.game,mystuff,NULL
select two,NULL,"
key(f2)
sleep(50ms)
key(f2)",ra3ep1_1.1.game,mystuff,NULL
select three,NULL,"
key(f3)
sleep(50ms)
key(f3)",ra3ep1_1.1.game,mystuff,NULL
select four,NULL,"
key(f4)
sleep(50ms)
key(f4)",ra3ep1_1.1.game,mystuff,NULL
select five,NULL,"
key(f5)
sleep(50ms)
key(f5)",ra3ep1_1.1.game,mystuff,NULL
select six,NULL,"
key(f6)
sleep(50ms)
key(f6)",ra3ep1_1.1.game,mystuff,NULL
select seven,NULL,"
key(f7)
sleep(50ms)
key(f7)",ra3ep1_1.1.game,mystuff,NULL
select eight,NULL,"
key(f8)
sleep(50ms)
key(f8)",ra3ep1_1.1.game,mystuff,NULL
select nine,NULL,"
key(f9)
sleep(50ms)
key(f9)",ra3ep1_1.1.game,mystuff,NULL
select ten,NULL,"
key(f10)
sleep(50ms)
key(f10)",ra3ep1_1.1.game,mystuff,NULL
slide right,NULL,"
key(right:down)
key(left:up)
key(up:up)
key(down:up)",ra3ep1_1.1.game,mystuff,NULL
slide left,NULL,"
key(left:down)
key(right:up)
key(up:up)
key(down:up)",ra3ep1_1.1.game,mystuff,NULL
slide up,NULL,"
key(up:down)
key(right:up)
key(left:up)
key(down:up)",ra3ep1_1.1.game,mystuff,NULL
slide down,NULL,"
key(down:down)
key(right:up)
key(left:up)
key(up:up)",ra3ep1_1.1.game,mystuff,NULL
slide stop,NULL,"
key(right:up)
key(left:up)
key(up:up)
key(down:up)",ra3ep1_1.1.game,mystuff,NULL
follow zero,NULL,"
key(0)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(0)",cnc3ep1.dat,mystuff,NULL
follow first,NULL,"
key(1)
sleep(100ms)
key(f1)
sleep(100ms)
key(f1)
sleep(100ms)
key(f1)
sleep(100ms)
key(f1)
key(1)",cnc3ep1.dat,mystuff,NULL
follow second,NULL,"
key(2)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(2)",cnc3ep1.dat,mystuff,NULL
follow third,NULL,"
key(3)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(3)",cnc3ep1.dat,mystuff,NULL
follow fourth,NULL,"
key(4)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(4)",cnc3ep1.dat,mystuff,NULL
follow fifth,NULL,"
key(5)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(5)",cnc3ep1.dat,mystuff,NULL
follow sixth,NULL,"
key(6)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(6)",cnc3ep1.dat,mystuff,NULL
follow seventh,NULL,"
key(7)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(7)",cnc3ep1.dat,mystuff,NULL
follow eighth,NULL,"
key(8)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(8)",cnc3ep1.dat,mystuff,NULL
follow ninth,NULL,"
key(9)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(9)",cnc3ep1.dat,mystuff,NULL
buildings | production,NULL,key(e),cnc3ep1.dat,mystuff,NULL
power plant,NULL,"
key(e)
key(f1)",cnc3ep1.dat,mystuff,NULL
refinery,NULL,"
key(e)
key(f2)",cnc3ep1.dat,mystuff,NULL
barracks,NULL,"
key(e)
key(f3)",cnc3ep1.dat,mystuff,NULL
war factory,NULL,"
key(e)
key(f4)",cnc3ep1.dat,mystuff,NULL
(operations centre) | (command post),NULL,"
key(e)
key(f5)",cnc3ep1.dat,mystuff,NULL
(air tower) | airfield,NULL,"
key(e)
key(f6)",cnc3ep1.dat,mystuff,NULL
(secret shrine) | armory,NULL,"
key(e)
key(f7)",cnc3ep1.dat,mystuff,NULL
tec center,NULL,"
key(e)
key(f8)",cnc3ep1.dat,mystuff,NULL
chemical plant,NULL,"
key(e)
key(f9)",cnc3ep1.dat,mystuff,NULL
crane,NULL,"
key(e)
key(f10)",cnc3ep1.dat,mystuff,NULL
engineering facility,NULL,"
key(e)
key(f11)",cnc3ep1.dat,mystuff,NULL
support,NULL,key(r),cnc3ep1.dat,mystuff,NULL
(turret) | (watchtower),NULL,"
key(r)
key(f1)",cnc3ep1.dat,mystuff,NULL
(laser turret) | (cannon),NULL,"
key(r)
key(f2)",cnc3ep1.dat,mystuff,NULL
(sam turret) | (AA battery),NULL,"
key(r)
key(f3)",cnc3ep1.dat,mystuff,NULL
[tiberian] silo,NULL,"
key(r)
key(f4)",cnc3ep1.dat,mystuff,NULL
(tower) | (sonic),NULL,"
key(r)
key(f5)",cnc3ep1.dat,mystuff,NULL
(voice of Caine) | (ion cannon),NULL,"
key(r)
key(f6)",cnc3ep1.dat,mystuff,NULL
(obelisk),NULL,"
key(r)
key(f7)",cnc3ep1.dat,mystuff,NULL
air pad,NULL,"
key(r)
key(f8)",cnc3ep1.dat,mystuff,NULL
wall,NULL,"
key(r)
key(f7)",cnc3ep1.dat,mystuff,NULL
(temple of nod),NULL,"
key(r)
key(f8)",cnc3ep1.dat,mystuff,NULL
surveyor,NULL,"
key(r)
key(f9)",cnc3ep1.dat,mystuff,NULL
air support [tower],NULL,"
key(r)
key(f9)",cnc3ep1.dat,mystuff,NULL
emissary,NULL,"
key(r)
key(f10)",cnc3ep1.dat,mystuff,NULL
infantry,NULL,key(t),cnc3ep1.dat,mystuff,NULL
i [militant] squad,NULL,"
key(t)
key(f1)",cnc3ep1.dat,mystuff,NULL
(militant rocket squad) | rocket,NULL,"
key(t)
key(f2)",cnc3ep1.dat,mystuff,NULL
saboteur | engineer,NULL,"
key(t)
key(f3)",cnc3ep1.dat,mystuff,NULL
fanatics,NULL,"
key(t)
key(f4)",cnc3ep1.dat,mystuff,NULL
scout,NULL,"
key(t)
key(f4)",cnc3ep1.dat,mystuff,NULL
grenadier,NULL,"
key(t)
key(f5)",cnc3ep1.dat,mystuff,NULL
(black hand),NULL,"
key(t)
key(f5)",cnc3ep1.dat,mystuff,NULL
sniper,NULL,"
key(t)
key(f6)",cnc3ep1.dat,mystuff,NULL
[zone] trooper,NULL,"
key(t)
key(f7)",cnc3ep1.dat,mystuff,NULL
commando,NULL,"
key(t)
key(f8)",cnc3ep1.dat,mystuff,NULL
vehicles,NULL,key(y),cnc3ep1.dat,mystuff,NULL
(attack bike) | pitbull,NULL,"
key(y)
key(f1)",cnc3ep1.dat,mystuff,NULL
bulldog,NULL,"
key(y)
key(f2)",cnc3ep1.dat,mystuff,NULL
buggy,NULL,"
key(y)
key(f2)",cnc3ep1.dat,mystuff,NULL
predator,NULL,"
key(y)
key(f3)",cnc3ep1.dat,mystuff,NULL
([scorpion] tank),NULL,"
key(y)
key(f3)",cnc3ep1.dat,mystuff,NULL
APC,NULL,"
key(y)
key(f6)",cnc3ep1.dat,mystuff,NULL
stealth tank,NULL,"
key(y)
key(f4)",cnc3ep1.dat,mystuff,NULL
harvester,NULL,"
key(y)
key(f4)",cnc3ep1.dat,mystuff,NULL
construction vehicle,NULL,"
key(y)
key(f5)",cnc3ep1.dat,mystuff,NULL
(flame tank),NULL,"
key(y)
key(f6)",cnc3ep1.dat,mystuff,NULL
shatterer,NULL,"
key(y)
key(f7)",cnc3ep1.dat,mystuff,NULL
reckoner,NULL,"
key(y)
key(f7)",cnc3ep1.dat,mystuff,NULL
slingshot,NULL,"
key(y)
key(f8)",cnc3ep1.dat,mystuff,NULL
beam cannon,NULL,"
key(y)
key(f8)",cnc3ep1.dat,mystuff,NULL
rig,NULL,"
key(y)
key(f9)",cnc3ep1.dat,mystuff,NULL
avatar,NULL,"
key(y)
key(f9)",cnc3ep1.dat,mystuff,NULL
mammoth,NULL,"
key(y)
key(f10)",cnc3ep1.dat,mystuff,NULL
juggernaut,NULL,"
key(y)
key(f11)",cnc3ep1.dat,mystuff,NULL
aircraft,NULL,key(u),cnc3ep1.dat,mystuff,NULL
venom | orca,NULL,"
key(u)
key(f1)",cnc3ep1.dat,mystuff,NULL
([vertigo] bomber) | hammerhead,NULL,"
key(u)
key(f2)",cnc3ep1.dat,mystuff,NULL
firehawk,NULL,"
key(u)
key(f3)",cnc3ep1.dat,mystuff,NULL
kodiak,NULL,"
key(u)
key(f4)",cnc3ep1.dat,mystuff,NULL
cell mode,NULL,key(z),cnc3ep1.dat,mystuff,NULL
repair mode,NULL,key(c),cnc3ep1.dat,mystuff,NULL
game <user.arrow_key>,NULL,"
key(arrow_key)
repeat(4)",cnc3ep1.dat,mystuff,NULL
fly <user.arrow_key>,NULL,"
key(arrow_key)
repeat(4)
sleep(50ms)
key(arrow_key)
repeat(4)
sleep(50ms)
key(arrow_key)
repeat(4)
sleep(50ms)",cnc3ep1.dat,mystuff,NULL
council | counsel | cancel,NULL,"
mouse_click(1)
sleep(50ms)
mouse_click(1)",cnc3ep1.dat,mystuff,NULL
centre,NULL,"
mouse_move(800, 500)",cnc3ep1.dat,mystuff,NULL
take [all],NULL,"
mouse_move(110, 100)
sleep(100ms)
user.mouse_drag(0)
sleep(100ms)
mouse_move(1650, 250)
sleep(100ms)
mouse_move(1650, 979)
sleep(100ms)
mouse_click(0)",cnc3ep1.dat,mystuff,NULL
pause,NULL,key(esc),cnc3ep1.dat,mystuff,NULL
units,NULL,key(q),cnc3ep1.dat,mystuff,NULL
select matching,NULL,key(w),cnc3ep1.dat,mystuff,NULL
matching units,NULL,key(w),cnc3ep1.dat,mystuff,NULL
stop,NULL,key(s),cnc3ep1.dat,mystuff,NULL
scatter,NULL,key(ctrl-x),cnc3ep1.dat,mystuff,NULL
assault move,NULL,key(f),cnc3ep1.dat,mystuff,NULL
next harvester,NULL,key(n),cnc3ep1.dat,mystuff,NULL
home,NULL,key(h),cnc3ep1.dat,mystuff,NULL
[go] bookmark one,NULL,key(j),cnc3ep1.dat,mystuff,NULL
[go] bookmark two,NULL,key(k),cnc3ep1.dat,mystuff,NULL
[go] bookmark three,NULL,key(l),cnc3ep1.dat,mystuff,NULL
[go] bookmark four,NULL,key(;),cnc3ep1.dat,mystuff,NULL
set bookmark one,NULL,key(ctrl-j),cnc3ep1.dat,mystuff,NULL
set bookmark two,NULL,key(ctrl-k),cnc3ep1.dat,mystuff,NULL
set bookmark three,NULL,key(ctrl-l),cnc3ep1.dat,mystuff,NULL
set bookmark four,NULL,key(ctrl-;),cnc3ep1.dat,mystuff,NULL
reset camera,NULL,key(keypad_5),cnc3ep1.dat,mystuff,NULL
zoom,NULL,key(keypad_8),cnc3ep1.dat,mystuff,NULL
zoom out,NULL,key(keypad_2),cnc3ep1.dat,mystuff,NULL
rotate left,NULL,key(keypad_4),cnc3ep1.dat,mystuff,NULL
rotate right,NULL,key(keypad_6),cnc3ep1.dat,mystuff,NULL
aggressive [stance],NULL,key(alt-a),cnc3ep1.dat,mystuff,NULL
defensive [stance],NULL,key(alt-s),cnc3ep1.dat,mystuff,NULL
hold ground,NULL,key(alt-d),cnc3ep1.dat,mystuff,NULL
hold fire,NULL,key(alt-f),cnc3ep1.dat,mystuff,NULL
status,NULL,key(o),cnc3ep1.dat,mystuff,NULL
[toggle] heads up [display],NULL,key(end),cnc3ep1.dat,mystuff,NULL
sub tab,NULL,key(tab),cnc3ep1.dat,mystuff,NULL
(next) | (previous) tab,NULL,key(ctrl-tab),cnc3ep1.dat,mystuff,NULL
activate first,NULL,key(ctrl-a),cnc3ep1.dat,mystuff,NULL
activate second,NULL,key(ctrl-s),cnc3ep1.dat,mystuff,NULL
activate third,NULL,key(ctrl-d),cnc3ep1.dat,mystuff,NULL
activate fourth,NULL,key(ctrl-f),cnc3ep1.dat,mystuff,NULL
attack,NULL,"
key(a)
sleep(50ms)
mouse_click(0)",cnc3ep1.dat,mystuff,NULL
[power] slot first,NULL,key(ctrl-f1),cnc3ep1.dat,mystuff,NULL
[power] slot second,NULL,key(ctrl-f2),cnc3ep1.dat,mystuff,NULL
[power] slot third,NULL,key(ctrl-f3),cnc3ep1.dat,mystuff,NULL
[power] slot forth,NULL,key(ctrl-f4),cnc3ep1.dat,mystuff,NULL
[power] slot fifth,NULL,key(ctrl-f5),cnc3ep1.dat,mystuff,NULL
[power] slot sixth,NULL,key(ctrl-f6),cnc3ep1.dat,mystuff,NULL
[power] slot seventh,NULL,key(ctrl-f7),cnc3ep1.dat,mystuff,NULL
[power] slot eighth,NULL,key(ctrl-f8),cnc3ep1.dat,mystuff,NULL
[power] slot ninth,NULL,key(ctrl-f9),cnc3ep1.dat,mystuff,NULL
[power] slot tenth,NULL,key(ctrl-f10),cnc3ep1.dat,mystuff,NULL
[power] slot eleventh,NULL,key(ctrl-f11),cnc3ep1.dat,mystuff,NULL
[power] slot twelfth,NULL,key(ctrl-f12),cnc3ep1.dat,mystuff,NULL
[power] slot thirteenth,NULL,key(ctrl-1),cnc3ep1.dat,mystuff,NULL
[power] slot fourteenth,NULL,key(ctrl-2),cnc3ep1.dat,mystuff,NULL
[power] slot fifteenth,NULL,key(ctrl-3),cnc3ep1.dat,mystuff,NULL
release keys,NULL,"
key(alt:up)
key(ctrl:up)
key(shift:up)
key(d:up)
key(a:up)",cnc3ep1.dat,mystuff,NULL
force attack,NULL,key(ctrl:down),cnc3ep1.dat,mystuff,NULL
reverse,NULL,key(d:down),cnc3ep1.dat,mystuff,NULL
attack move,NULL,key(a:down),cnc3ep1.dat,mystuff,NULL
waypoint,NULL,key(alt:down),cnc3ep1.dat,mystuff,NULL
planning,NULL,key(ctrl-z),cnc3ep1.dat,mystuff,NULL
select [unit] first,NULL,"
key(q)
key(f1)",cnc3ep1.dat,mystuff,NULL
select [unit] second,NULL,"
key(q)
key(f2)",cnc3ep1.dat,mystuff,NULL
select [unit] third,NULL,"
key(q)
key(f3)",cnc3ep1.dat,mystuff,NULL
select [unit] four,NULL,"
key(q)
key(f4)",cnc3ep1.dat,mystuff,NULL
select [unit] fifth,NULL,"
key(q)
key(f5)",cnc3ep1.dat,mystuff,NULL
select [unit] sixth,NULL,"
key(q)
key(f6)",cnc3ep1.dat,mystuff,NULL
select [unit] seventh,NULL,"
key(q)
key(f7)",cnc3ep1.dat,mystuff,NULL
select [unit] eighth,NULL,"
key(q)
key(f8)",cnc3ep1.dat,mystuff,NULL
select [unit] ninth,NULL,"
key(q)
key(f9)",cnc3ep1.dat,mystuff,NULL
select [unit] tenth,NULL,"
key(q)
key(f10)",cnc3ep1.dat,mystuff,NULL
select [unit] eleventh,NULL,"
key(q)
key(f11)",cnc3ep1.dat,mystuff,NULL
select [unit] twelfth,NULL,"
key(q)
key(f12)",cnc3ep1.dat,mystuff,NULL
context,NULL,key(.),cnc3ep1.dat,mystuff,NULL
power mode,NULL,key(x),cnc3ep1.dat,mystuff,NULL
database | message,NULL,key(i),cnc3ep1.dat,mystuff,NULL
objectives,NULL,key(o),cnc3ep1.dat,mystuff,NULL
dot net attack,NULL,key(alt),cnc3ep1.dat,mystuff,NULL
select <user.function_key>,NULL,"
key(function_key)
sleep(50ms)
key(function_key)",cnc3ep1.dat,mystuff,NULL
repair this,NULL,"
key(c)
sleep(50ms)
mouse_click(0)
sleep(50ms)
key(c)",cnc3ep1.dat,mystuff,NULL
select one,NULL,"
key(f1)
sleep(50ms)
key(f1)",cnc3ep1.dat,mystuff,NULL
select two,NULL,"
key(f2)
sleep(50ms)
key(f2)",cnc3ep1.dat,mystuff,NULL
select three,NULL,"
key(f3)
sleep(50ms)
key(f3)",cnc3ep1.dat,mystuff,NULL
select four,NULL,"
key(f4)
sleep(50ms)
key(f4)",cnc3ep1.dat,mystuff,NULL
select five,NULL,"
key(f5)
sleep(50ms)
key(f5)",cnc3ep1.dat,mystuff,NULL
select six,NULL,"
key(f6)
sleep(50ms)
key(f6)",cnc3ep1.dat,mystuff,NULL
select seven,NULL,"
key(f7)
sleep(50ms)
key(f7)",cnc3ep1.dat,mystuff,NULL
select eight,NULL,"
key(f8)
sleep(50ms)
key(f8)",cnc3ep1.dat,mystuff,NULL
select nine,NULL,"
key(f9)
sleep(50ms)
key(f9)",cnc3ep1.dat,mystuff,NULL
select ten,NULL,"
key(f10)
sleep(50ms)
key(f10)",cnc3ep1.dat,mystuff,NULL
hover first,NULL,"
mouse_move(40, 205)",cnc3ep1.dat,mystuff,NULL
hover second,NULL,"
mouse_move(40, 285)",cnc3ep1.dat,mystuff,NULL
hover third,NULL,"
mouse_move(40, 365)",cnc3ep1.dat,mystuff,NULL
hover fourth,NULL,"
mouse_move(40, 445)",cnc3ep1.dat,mystuff,NULL
hover fifth,NULL,"
mouse_move(40, 525)",cnc3ep1.dat,mystuff,NULL
hover sixth,NULL,"
mouse_move(40, 605)",cnc3ep1.dat,mystuff,NULL
hover seventh,NULL,"
mouse_move(40, 685)",cnc3ep1.dat,mystuff,NULL
hover eighth,NULL,"
mouse_move(40, 765)",cnc3ep1.dat,mystuff,NULL
hover ninth,NULL,"
mouse_move(40, 845)",cnc3ep1.dat,mystuff,NULL
hover tenth,NULL,"
mouse_move(110, 245)",cnc3ep1.dat,mystuff,NULL
hover eleventh,NULL,"
mouse_move(110, 325)",cnc3ep1.dat,mystuff,NULL
hover twelfth,NULL,"
mouse_move(110, 405)",cnc3ep1.dat,mystuff,NULL
hover thirteenth,NULL,"
mouse_move(110, 485)",cnc3ep1.dat,mystuff,NULL
hover fourteenth,NULL,"
mouse_move(110, 565)",cnc3ep1.dat,mystuff,NULL
hover fifteenth,NULL,"
mouse_move(110, 645)",cnc3ep1.dat,mystuff,NULL
hover weapon first,NULL,"
mouse_move(25, 30)",cnc3ep1.dat,mystuff,NULL
hover weapon second,NULL,"
mouse_move(85, 30)",cnc3ep1.dat,mystuff,NULL
hover weapon third,NULL,"
mouse_move(145, 30)",cnc3ep1.dat,mystuff,NULL
hover weapon fourth,NULL,"
mouse_move(205, 30)",cnc3ep1.dat,mystuff,NULL
hover build first,NULL,"
mouse_move(1420, 450)",cnc3ep1.dat,mystuff,NULL
hover build second,NULL,"
mouse_move(1500, 450)",cnc3ep1.dat,mystuff,NULL
hover build third,NULL,"
mouse_move(1590, 540)",cnc3ep1.dat,mystuff,NULL
hover build fourth,NULL,"
mouse_move(1420, 550)",cnc3ep1.dat,mystuff,NULL
hover build fifth,NULL,"
mouse_move(1510, 550)",cnc3ep1.dat,mystuff,NULL
hover build sixth,NULL,"
mouse_move(1590, 550)",cnc3ep1.dat,mystuff,NULL
hover build seventh,NULL,"
mouse_move(1420, 630)",cnc3ep1.dat,mystuff,NULL
hover build eighth,NULL,"
mouse_move(1510, 620)",cnc3ep1.dat,mystuff,NULL
hover build ninth,NULL,"
mouse_move(1590, 620)",cnc3ep1.dat,mystuff,NULL
hover build tenth,NULL,"
mouse_move(1420, 710)",cnc3ep1.dat,mystuff,NULL
hover build eleventh,NULL,"
mouse_move(1500, 710)",cnc3ep1.dat,mystuff,NULL
hover build twelfth,NULL,"
mouse_move(1580, 710)",cnc3ep1.dat,mystuff,NULL
slide right,NULL,"
key(right:down)
key(left:up)
key(up:up)
key(down:up)",cnc3ep1.dat,mystuff,NULL
slide left,NULL,"
key(left:down)
key(right:up)
key(up:up)
key(down:up)",cnc3ep1.dat,mystuff,NULL
slide up,NULL,"
key(up:down)
key(right:up)
key(left:up)
key(down:up)",cnc3ep1.dat,mystuff,NULL
slide down,NULL,"
key(down:down)
key(right:up)
key(left:up)
key(up:up)",cnc3ep1.dat,mystuff,NULL
slide stop,NULL,"
key(right:up)
key(left:up)
key(up:up)
key(down:up)",cnc3ep1.dat,mystuff,NULL
follow zero,NULL,"
key(0)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(0)",cnc3game.dat,mystuff,NULL
follow first,NULL,"
key(1)
sleep(100ms)
key(f1)
sleep(100ms)
key(f1)
sleep(100ms)
key(f1)
sleep(100ms)
key(f1)
key(1)",cnc3game.dat,mystuff,NULL
follow second,NULL,"
key(2)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(2)",cnc3game.dat,mystuff,NULL
follow third,NULL,"
key(3)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(3)",cnc3game.dat,mystuff,NULL
follow fourth,NULL,"
key(4)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(4)",cnc3game.dat,mystuff,NULL
follow fifth,NULL,"
key(5)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(5)",cnc3game.dat,mystuff,NULL
follow sixth,NULL,"
key(6)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(6)",cnc3game.dat,mystuff,NULL
follow seventh,NULL,"
key(7)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(7)",cnc3game.dat,mystuff,NULL
follow eighth,NULL,"
key(8)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(8)",cnc3game.dat,mystuff,NULL
follow ninth,NULL,"
key(9)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
sleep(50ms)
key(f1)
key(9)",cnc3game.dat,mystuff,NULL
buildings | production,NULL,key(e),cnc3game.dat,mystuff,NULL
power plant,NULL,"
key(e)
key(f1)",cnc3game.dat,mystuff,NULL
refinery,NULL,"
key(e)
key(f2)",cnc3game.dat,mystuff,NULL
barracks,NULL,"
key(e)
key(f3)",cnc3game.dat,mystuff,NULL
war factory,NULL,"
key(e)
key(f4)",cnc3game.dat,mystuff,NULL
(operations centre) | (command post),NULL,"
key(e)
key(f5)",cnc3game.dat,mystuff,NULL
(air tower) | airfield,NULL,"
key(e)
key(f6)",cnc3game.dat,mystuff,NULL
(secret shrine) | armory,NULL,"
key(e)
key(f7)",cnc3game.dat,mystuff,NULL
tec center,NULL,"
key(e)
key(f8)",cnc3game.dat,mystuff,NULL
chemical plant,NULL,"
key(e)
key(f9)",cnc3game.dat,mystuff,NULL
crane,NULL,"
key(e)
key(f10)",cnc3game.dat,mystuff,NULL
engineering facility,NULL,"
key(e)
key(f11)",cnc3game.dat,mystuff,NULL
support,NULL,key(r),cnc3game.dat,mystuff,NULL
(turret) | (watchtower),NULL,"
key(r)
key(f1)",cnc3game.dat,mystuff,NULL
(laser turret) | (cannon),NULL,"
key(r)
key(f2)",cnc3game.dat,mystuff,NULL
